Nama Konser,Tempat,Tanggal,Line-up 1,Line-up 2,Line-up 3,Harga Tiket VIP,Harga Tiket Reguler
Konser Dangdut Fever Jakarta,Gelora Bung Karno,Jakarta,10 Agustus 2023,Rita Sugiarto,Inul Daratista,Cita Citata,500000,200000
Konser Dangdut Fest Surabaya,Gelora Delta Sidoarjo,Surabaya,15 Agustus 2023,Rhoma Irama,Elvy Sukaesih,Siti Badriah,450000,180000
Konser Dangdut Sensation Bandung,Gedung Sate,Bandung,20 September 2023,Nella Kharisma,Via Vallen,Soimah,400000,160000
Konser Dangdut Mania Medan,Stadion Teladan,Medan,27 September 2023,Lesti,Rizki Ridho,Zaskia Gotik,350000,140000
Konser Dangdut Rhythm Bali,Pantai Kuta,Bali,13 Oktober 2023,Mansyur S,Cici Paramida,Fitri Carlina,300000,120000
Konser Dangdut Megah Yogyakarta,Stadion Maguwoharjo,Yogyakarta,21 Oktober 2023,Danang,Ikke Nurjanah,Iis Dahlia,400000,160000
Konser Dangdut Rocker Makassar,Lapangan Karebosi,Makassar,5 November 2023,Inul Daratista,Cita Citata,Zaskia Gotik,350000,140000
Konser Dangdut Joss Palembang,Stadion Gelora Sriwijaya,Palembang,3 Desember 2023,Rita Sugiarto,Elvy Sukaesih,Siti Badriah,450000,180000
Konser Dangdut Fiesta Solo,Stadion Manahan,Solo,17 Desember 2023,Via Vallen,Nella Kharisma,Fitri Carlina,400000,160000
Konser Dangdut Harmoni Jakarta,Istora Senayan,Jakarta,25 Desember 2023,Rhoma Irama,Rizki Ridho,Iis Dahlia,500000,200000
